Mã,Sàn,Ngành ICB - cấp 2,Năm,Lợi nhuận sau thuế thu nhập doanh nghiệp,TỔNG CỘNG TÀI SẢN,GTCL tài sản cố định vô hình,NỢ PHẢI TRẢ,VỐN CHỦ SỞ HỮU,price,marketcap,avg20_volume,Slcp,eps,pe,bvps,pb,roe
CMX,HOSE,Thực phẩm và đồ uống,2024.0,96.98818167600001,3883.7140310040004,44.671417042,2188.952444928,1694.7615860760002,7870.0,801945.0,252.5,101898983.48157561,951.8071560894077,8.268481645310024,16193.391853927116,0.48600071380915905,0.05722821574010508
CNG,HOSE,"Điện, nước & xăng dầu khí đốt",2024.0,90.98939817700001,1365.73130323,35.946043321000005,734.7655000560001,630.965803174,31000.0,1088077.0,110.37,35099258.06451613,2592.345342734936,11.958283292338999,16952.488248021975,1.8286401114961455,0.14420654450572193
COM,HOSE,Bán lẻ,2024.0,26.814525232,486.74009093,110.148051757,52.515883851000005,434.22420707900005,29300.0,413734.1,0.31,14120617.747440273,1898.9626170470358,15.429476987578983,22950.564990738254,1.2766570239915258,0.06175271851465788
CRC,HOSE,Xây dựng và Vật liệu,2024.0,66.740121196,1212.959469929,4.264881901,394.706463805,818.2530061240001,6790.0,407399.9,227.92000000000002,59999985.2724595,1112.3356262994666,6.104272702825374,13566.47206706278,0.5004985796185755,0.08156416254691527
CRE,HOSE,Bất động sản,2024.0,42.837174866000005,7187.444381411,74.087866034,1526.345629183,5661.098752228,7800.0,3616691.0,245.85500000000002,463678333.3333333,92.38554356863776,84.4287937127847,12049.324897347658,0.6473391718167517,0.007566936515484891
CRV,HOSE,Bất động sản,2024.0,756.7492184500001,9155.803094985,0.0,1306.7031123660001,7849.099982619001,,,,,,,,,0.09641222816956606
CSM,HOSE,Ô tô và phụ tùng,2024.0,76.313142139,3817.652410428,81.57466454700001,2453.222859934,1364.429550494,15450.0,1601010.0,1945.3736842105263,103625242.7184466,736.433904877265,20.97947948577261,12379.752773487458,1.2480055363535045,0.05593043782390257
CSV,HOSE,Hóa chất,2024.0,258.09706411300004,1858.2282031000002,1.7559713810000002,304.450146866,1553.7780562340001,45700.0,5049846.0,2970.936842105263,110499912.4726477,2335.7218873534166,19.565685558472982,14045.459857148535,3.253720452359605,0.16610935073865557
CTD,HOSE,Xây dựng và Vật liệu,2024.0,372.985871523,27084.535560796,105.478162393,18394.183977067,8690.351583729,68700.0,6865194.0,773.09,99930043.66812228,3732.469814200458,18.406043027762944,85908.83288160294,0.7996849415319185,0.04291953759630897
CTF,HOSE,Ô tô và phụ tùng,2024.0,50.932384458,3919.3462640750004,86.710892376,2797.9803107330004,1121.365953342,22000.0,2104384.0,113.42999999999999,95653818.18181819,532.4657752938626,41.31720951991406,10816.662425323513,2.033899102600681,0.04541994904179722
