ts_utc,ts_local,ticker,price,signal,method
2025-09-18T09:24:34.916225+00:00,2025-09-03 14:15:00,TPB,21100,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.917312+00:00,2025-09-04 09:30:00,TPB,21350,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.918330+00:00,2025-09-04 10:00:00,TPB,21400,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.919696+00:00,2025-09-04 10:15:00,TPB,21550,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.919696+00:00,2025-09-05 14:15:00,TPB,20700,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.920702+00:00,2025-09-08 09:15:00,TPB,20200,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.920702+00:00,2025-09-08 14:15:00,TPB,19500,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.920702+00:00,2025-09-11 09:15:00,TPB,19050,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.922291+00:00,2025-09-11 09:30:00,TPB,19000,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.922291+00:00,2025-09-11 09:45:00,TPB,18800,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.922291+00:00,2025-09-11 14:45:00,TPB,19650,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.923794+00:00,2025-09-12 10:15:00,TPB,19500,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.923794+00:00,2025-09-12 10:30:00,TPB,19600,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.924813+00:00,2025-09-17 13:15:00,TPB,19500,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.924813+00:00,2025-09-17 14:00:00,TPB,19450,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.925816+00:00,2025-09-17 14:15:00,TPB,19300,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.925816+00:00,2025-09-18 09:45:00,TPB,18900,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.926917+00:00,2025-09-18 10:00:00,TPB,19000,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.926917+00:00,2025-09-18 10:45:00,TPB,18950,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.928229+00:00,2025-09-18 13:30:00,TPB,18850,1,Wyckoff+VSA+RSI
